Wave,state_code,Go to work,Go to the gym,Go visit a friend,"Go to a cafe, bar, or restaurant",Go to a doctor or visit a hospital,Go to church or another place of worship,"Take mass transit (e.g. subway, bus, or train)",Avoiding contact with other people,Avoiding public or crowded places,Frequently washing hands,Wearing a face mask when outside of your home,Been in a room with someone outside of household in the past 24 hours,Been in a room with 5-10 people outside of household in the past 24 hours,Been in a room with 11-50 people outside of household in the past 24 hours,Been in a room with over 50 people outside of household in the past 24 hours
17,WI,39 (6),9 (3),24 (5),26 (5),11 (4),10 (4),2 (1),39 (6),46 (6),65 (6),69 (6),50 (6),11 (4),6 (2),3 (1)
17,WV,32 (6),6 (4),24 (6),16 (5),14 (5),11 (5),3 (2),30 (6),45 (7),70 (6),74 (6),57 (7),16 (6),6 (3),2 (2)
17,WY,48 (8),8 (4),30 (8),26 (7),15 (6),8 (4),2 (2),23 (6),32 (7),58 (8),44 (8),58 (8),21 (7),7 (4),4 (3)
18,National,38 (1),12 (1),25 (1),25 (1),14 (1),9 (0),5 (0),30 (1),37 (1),64 (1),49 (1),53 (1),14 (1),7 (0),4 (0)
18,AK,40 (8),7 (4),35 (8),29 (8),17 (7),10 (6),3 (2),21 (7),26 (7),57 (9),31 (8),64 (8),13 (5),9 (5),5 (3)
18,AL,42 (6),12 (4),28 (6),22 (5),18 (5),17 (5),2 (2),30 (6),38 (6),65 (6),46 (6),54 (6),14 (4),7 (3),7 (3)
18,AR,34 (6),8 (3),26 (6),26 (6),18 (5),14 (4),1 (1),29 (6),38 (6),58 (6),42 (6),52 (6),15 (5),6 (3),6 (3)
18,AZ,39 (6),16 (5),24 (5),24 (5),21 (6),7 (4),5 (3),26 (6),36 (6),62 (6),47 (6),52 (6),16 (5),6 (2),3 (2)
18,CA,39 (5),11 (3),22 (4),24 (4),11 (3),10 (3),5 (2),42 (5),46 (5),69 (5),66 (5),41 (5),9 (2),4 (2),2 (1)
18,CO,45 (6),15 (4),24 (5),27 (5),11 (3),8 (3),6 (3),26 (5),33 (5),62 (6),40 (6),50 (6),13 (4),7 (3),5 (3)
18,CT,37 (6),14 (5),31 (5),30 (6),18 (5),10 (4),6 (3),32 (6),36 (6),70 (5),53 (6),55 (6),12 (4),9 (3),5 (3)
18,DC,32 (7),12 (4),23 (6),18 (5),14 (5),10 (5),21 (6),40 (7),56 (7),75 (6),71 (6),58 (7),14 (5),5 (3),1 (1)
18,DE,38 (7),13 (5),21 (6),20 (6),12 (4),8 (4),5 (4),32 (7),37 (7),64 (7),51 (7),56 (7),15 (5),6 (3),2 (1)
18,FL,38 (5),13 (3),25 (4),29 (5),20 (4),8 (3),4 (2),34 (5),41 (5),61 (5),58 (5),51 (5),11 (3),6 (2),4 (2)
18,GA,37 (6),13 (4),23 (5),24 (5),18 (5),13 (4),5 (3),34 (6),44 (6),69 (6),59 (6),53 (6),16 (4),4 (2),5 (3)
18,HI,42 (7),8 (4),18 (6),24 (6),12 (5),6 (3),6 (3),32 (7),40 (7),61 (7),65 (7),46 (7),12 (4),6 (3),3 (2)
18,IA,42 (6),14 (4),29 (5),31 (5),16 (4),11 (4),2 (2),21 (5),27 (5),56 (6),30 (5),56 (6),15 (4),7 (3),2 (1)
18,ID,41 (7),13 (5),22 (6),32 (7),20 (6),10 (5),3 (2),14 (5),19 (5),58 (7),25 (6),65 (7),21 (6),8 (3),8 (4)
18,IL,39 (5),14 (4),24 (4),26 (4),12 (3),9 (3),10 (3),28 (4),36 (5),63 (5),49 (5),49 (5),13 (4),7 (2),2 (1)
18,IN,37 (6),7 (3),24 (5),24 (5),11 (4),11 (4),4 (3),25 (5),30 (6),62 (6),43 (6),53 (6),10 (3),7 (3),4 (3)
18,KS,40 (6),9 (4),28 (6),28 (6),13 (4),14 (4),2 (2),22 (6),32 (6),61 (6),35 (6),57 (7),18 (5),7 (3),5 (3)
18,KY,33 (6),8 (3),29 (6),28 (5),14 (4),10 (4),2 (1),32 (6),36 (6),67 (6),41 (6),48 (6),12 (3),8 (3),3 (2)
18,LA,40 (6),11 (4),26 (5),27 (6),19 (5),15 (5),2 (1),33 (6),41 (6),69 (6),46 (6),53 (6),15 (4),8 (3),4 (3)
18,MA,40 (7),14 (4),28 (6),25 (5),13 (4),5 (2),9 (4),27 (6),35 (6),57 (7),44 (7),50 (7),12 (4),4 (2),1 (1)
18,MD,42 (6),12 (3),18 (4),22 (5),13 (4),10 (4),5 (3),35 (6),43 (6),66 (6),59 (6),48 (6),14 (4),7 (3),4 (2)
18,ME,38 (5),6 (3),22 (4),16 (4),12 (4),5 (3),2 (2),26 (5),34 (5),61 (5),35 (5),53 (6),13 (4),7 (3),1 (1)
18,MI,37 (5),8 (3),22 (4),25 (5),10 (3),8 (3),4 (3),29 (5),38 (5),63 (5),45 (6),51 (6),11 (4),8 (3),3 (2)
18,MN,36 (5),9 (3),26 (5),26 (5),11 (4),10 (3),4 (3),19 (4),27 (5),58 (6),31 (5),55 (6),16 (4),10 (4),5 (2)
18,MO,36 (5),9 (3),24 (5),24 (5),11 (3),8 (3),2 (2),26 (5),33 (5),61 (5),36 (5),57 (5),15 (4),7 (3),4 (2)
18,MS,38 (7),7 (3),17 (5),24 (6),18 (6),15 (5),1 (1),33 (7),39 (7),61 (8),52 (8),47 (7),9 (4),9 (4),3 (2)
18,MT,36 (6),10 (3),26 (6),27 (6),12 (5),7 (3),2 (2),17 (5),30 (6),58 (7),23 (6),58 (7),13 (5),10 (4),3 (2)
18,NC,39 (6),14 (5),25 (5),24 (5),14 (4),12 (4),5 (3),33 (5),39 (6),69 (5),50 (6),51 (6),14 (4),7 (2),3 (2)
18,ND,43 (8),13 (5),31 (7),36 (8),14 (6),12 (5),1 (1),15 (5),22 (6),48 (8),21 (6),62 (8),17 (5),9 (5),4 (2)
18,NE,45 (6),9 (3),28 (6),26 (6),13 (4),11 (5),3 (2),18 (5),22 (5),63 (6),29 (6),57 (6),12 (4),12 (4),3 (2)
18,NH,36 (6),10 (4),23 (5),21 (5),12 (4),4 (2),3 (3),24 (6),36 (6),60 (6),44 (6),52 (6),13 (4),6 (3),4 (2)
18,NJ,33 (5),13 (4),24 (5),28 (5),16 (4),8 (3),9 (4),34 (6),40 (6),66 (5),61 (5),51 (6),8 (3),8 (4),3 (2)
18,NM,34 (7),8 (4),21 (6),22 (6),14 (5),9 (4),5 (4),26 (7),38 (8),66 (7),49 (8),50 (8),14 (5),8 (4),4 (3)
18,NV,41 (7),17 (6),21 (6),25 (5),10 (4),8 (4),7 (3),22 (5),30 (6),58 (7),47 (7),50 (7),15 (5),7 (3),5 (2)
18,NY,34 (5),15 (4),24 (4),18 (4),12 (3),8 (3),15 (4),39 (5),46 (5),70 (5),62 (5),51 (5),13 (3),5 (2),2 (2)
18,OH,33 (5),10 (3),22 (4),24 (4),12 (4),9 (3),3 (2),31 (5),34 (5),63 (5),44 (5),51 (5),13 (3),7 (2),4 (2)
18,OK,43 (6),9 (3),29 (6),28 (6),17 (5),11 (4),4 (3),27 (6),38 (6),66 (6),44 (6),54 (6),14 (4),6 (3),4 (2)
18,OR,33 (6),7 (3),23 (5),24 (5),9 (3),8 (3),5 (2),29 (5),39 (6),55 (6),55 (6),53 (6),14 (4),6 (2),4 (3)
18,PA,34 (5),10 (3),25 (5),23 (4),13 (4),11 (3),5 (2),26 (5),37 (5),59 (5),49 (5),57 (5),12 (3),7 (3),5 (3)
18,RI,38 (8),10 (5),30 (8),24 (8),17 (7),8 (5),6 (4),30 (8),39 (8),65 (8),46 (8),52 (8),11 (5),11 (6),1 (1)
18,SC,41 (6),7 (3),28 (5),27 (5),15 (4),12 (4),2 (1),27 (5),33 (5),61 (6),47 (6),54 (6),12 (4),8 (3),6 (2)
18,SD,43 (8),8 (4),35 (8),34 (7),15 (6),13 (5),1 (1),15 (6),27 (8),56 (8),26 (8),63 (8),17 (6),8 (4),6 (4)
18,TN,40 (6),12 (4),31 (6),29 (6),13 (4),11 (4),1 (1),28 (6),31 (6),64 (6),41 (6),56 (6),14 (4),9 (4),5 (3)
18,TX,42 (5),15 (3),23 (4),30 (4),14 (3),11 (3),4 (2),36 (5),42 (5),69 (5),58 (5),48 (5),12 (3),6 (2),4 (2)
18,UT,40 (7),17 (5),36 (7),33 (6),17 (5),15 (5),7 (4),21 (6),30 (6),57 (7),32 (7),63 (6),17 (5),8 (4),4 (2)
18,VA,34 (5),13 (3),25 (5),25 (5),16 (5),10 (4),3 (2),35 (6),44 (6),68 (5),59 (6),46 (6),12 (4),4 (2),3 (2)
18,VT,38 (8),5 (3),25 (7),24 (7),18 (7),5 (3),2 (2),29 (8),35 (8),60 (8),46 (8),57 (8),22 (7),5 (3),1 (1)
18,WA,34 (6),10 (4),22 (5),18 (4),12 (4),5 (2),6 (3),31 (6),41 (6),62 (6),57 (6),47 (6),11 (3),4 (3),2 (1)
18,WI,38 (6),8 (3),31 (6),27 (5),12 (4),8 (3),4 (3),19 (5),28 (5),62 (6),31 (6),60 (6),17 (4),7 (3),5 (2)
18,WV,33 (6),7 (4),26 (6),23 (6),17 (5),5 (2),3 (3),33 (7),38 (7),67 (6),51 (7),53 (7),17 (5),4 (2),4 (2)
18,WY,44 (9),11 (7),39 (10),28 (9),19 (8),8 (6),2 (2),20 (8),26 (8),58 (10),18 (6),61 (10),13 (6),9 (6),6 (5)
19,National,38 (1),11 (1),22 (1),23 (1),13 (1),9 (0),5 (0),36 (1),44 (1),67 (1),57 (1),51 (1),13 (1),7 (0),4 (0)
19,AK,41 (9),9 (4),24 (9),25 (8),10 (5),5 (3),2 (2),30 (8),35 (9),61 (9),45 (9),51 (10),9 (4),9 (6),1 (1)
19,AL,38 (6),10 (3),21 (5),23 (5),12 (4),15 (4),2 (2),41 (6),42 (6),68 (5),58 (6),51 (6),9 (3),6 (2),5 (3)
19,AR,40 (6),11 (3),25 (5),19 (5),11 (3),13 (4),2 (2),36 (6),44 (6),63 (6),52 (6),58 (6),13 (4),7 (3),6 (3)
19,AZ,41 (6),11 (4),24 (5),27 (5),13 (4),8 (3),7 (3),40 (6),47 (6),69 (5),58 (6),50 (6),13 (4),6 (2),4 (2)
19,CA,40 (4),13 (3),20 (3),26 (4),13 (3),6 (2),4 (1),39 (4),49 (4),71 (4),71 (4),47 (4),13 (3),6 (2),3 (1)
19,CO,43 (6),15 (4),27 (6),26 (5),15 (5),7 (3),6 (3),26 (5),32 (6),63 (6),40 (6),60 (6),17 (6),7 (3),2 (2)
19,CT,42 (6),10 (3),28 (6),18 (5),10 (4),9 (3),3 (2),37 (6),48 (7),65 (6),70 (6),48 (6),9 (3),9 (4),3 (2)
19,DC,35 (6),11 (4),20 (5),17 (4),9 (4),6 (3),17 (5),47 (7),54 (6),77 (5),75 (6),47 (6),10 (4),6 (3),2 (2)
19,DE,36 (6),10 (4),20 (6),24 (6),14 (5),10 (4),6 (4),32 (6),42 (6),65 (6),51 (7),49 (7),15 (5),8 (4),3 (2)
19,FL,32 (4),9 (3),19 (4),22 (4),14 (3),9 (3),3 (2),47 (5),51 (5),68 (4),66 (4),43 (5),10 (2),6 (2),4 (2)
19,GA,34 (5),11 (4),21 (4),23 (4),15 (4),10 (3),3 (2),44 (5),53 (5),71 (5),66 (5),47 (5),10 (3),5 (2),3 (2)
19,HI,40 (6),6 (3),15 (4),17 (5),8 (3),5 (2),5 (3),43 (7),51 (7),70 (6),82 (5),45 (7),12 (4),8 (3),1 (1)
19,IA,40 (6),6 (3),20 (5),26 (5),8 (3),12 (4),2 (1),29 (6),41 (6),59 (6),37 (6),51 (6),11 (4),8 (3),6 (2)
19,ID,44 (6),7 (3),24 (5),29 (6),15 (4),11 (3),1 (1),26 (5),34 (6),64 (6),34 (6),57 (6),13 (4),9 (3),4 (2)
19,IL,38 (4),12 (3),20 (4),24 (4),13 (3),10 (3),8 (3),37 (4),44 (5),66 (4),62 (5),51 (5),14 (3),7 (2),4 (2)
19,IN,35 (6),7 (4),19 (5),27 (6),11 (5),11 (4),4 (3),32 (6),44 (7),64 (7),50 (7),49 (7),15 (4),3 (2),4 (3)
19,KS,39 (7),14 (5),24 (6),27 (6),14 (5),10 (4),2 (1),29 (6),38 (7),66 (6),46 (7),57 (7),13 (4),7 (3),7 (4)
19,KY,35 (5),5 (2),21 (5),16 (4),14 (4),10 (3),4 (2),36 (5),50 (6),65 (6),54 (6),46 (6),14 (4),6 (2),4 (2)
19,LA,31 (7),9 (4),22 (7),22 (6),14 (6),9 (4),3 (4),43 (7),54 (8),68 (8),70 (7),43 (8),12 (6),3 (2),1 (1)
19,MA,35 (5),10 (3),22 (4),26 (4),13 (4),7 (2),6 (2),33 (5),40 (5),65 (5),55 (5),55 (5),14 (3),7 (2),5 (2)
19,MD,40 (6),15 (5),22 (5),23 (5),14 (4),7 (3),8 (3),38 (6),47 (6),72 (5),66 (5),47 (6),12 (4),9 (3),2 (2)
19,ME,36 (5),7 (3),21 (5),16 (4),14 (4),4 (2),2 (2),29 (5),38 (5),63 (5),41 (5),49 (6),14 (4),6 (3),4 (2)
19,MI,32 (4),8 (2),26 (4),25 (4),14 (3),10 (3),3 (1),33 (5),39 (5),64 (5),44 (5),51 (5),13 (3),6 (2),5 (2)
19,MN,40 (6),9 (3),21 (5),21 (5),11 (4),8 (3),3 (2),26 (5),36 (6),58 (6),37 (6),50 (6),10 (3),10 (3),7 (3)
19,MO,38 (5),10 (3),27 (5),25 (4),14 (4),13 (4),3 (2),31 (5),39 (5),66 (5),47 (5),54 (5),9 (3),10 (3),4 (2)
19,MS,41 (7),7 (3),22 (5),22 (6),13 (4),16 (5),1 (1),43 (7),50 (7),65 (6),57 (7),44 (6),11 (4),6 (2),3 (2)
19,MT,34 (6),7 (3),24 (6),19 (5),11 (4),4 (3),1 (1),21 (5),32 (7),57 (7),34 (7),53 (7),13 (4),8 (4),4 (3)
19,NC,30 (5),9 (3),21 (4),23 (4),13 (4),11 (3),2 (1),43 (5),49 (5),67 (5),64 (5),45 (5),11 (3),7 (3),3 (1)
19,ND,43 (7),9 (4),27 (6),32 (7),18 (6),13 (6),2 (2),21 (6),29 (6),54 (7),23 (6),67 (6),21 (6),14 (5),7 (4)
19,NE,46 (7),11 (4),23 (6),27 (6),8 (4),9 (4),3 (3),28 (6),36 (6),64 (7),43 (7),56 (7),17 (5),9 (4),4 (2)
19,NH,41 (7),11 (4),25 (6),25 (5),12 (4),4 (2),2 (2),29 (6),43 (6),67 (6),48 (6),55 (6),15 (4),6 (3),3 (2)
19,NJ,36 (5),12 (4),26 (5),26 (5),15 (4),10 (3),6 (3),34 (5),39 (5),65 (5),55 (5),55 (5),13 (4),8 (2),3 (2)
19,NM,35 (7),7 (3),21 (6),22 (6),14 (5),7 (3),4 (3),36 (7),46 (7),73 (6),68 (7),50 (7),9 (3),8 (4),2 (1)
19,NV,35 (6),9 (4),21 (6),30 (6),10 (4),5 (3),8 (4),42 (7),49 (7),67 (6),72 (6),50 (7),9 (3),8 (3),5 (2)
19,NY,36 (4),12 (2),24 (4),20 (3),13 (3),8 (2),15 (3),37 (4),48 (4),67 (4),63 (4),50 (4),12 (3),5 (2),2 (1)
19,OH,38 (5),9 (3),19 (4),19 (4),15 (3),8 (2),5 (2),34 (5),38 (5),64 (5),46 (5),50 (5),11 (3),6 (2),4 (2)
19,OK,42 (6),10 (4),28 (6),23 (5),11 (3),11 (4),4 (2),32 (6),40 (6),66 (6),46 (6),53 (6),16 (4),6 (3),4 (2)
19,OR,33 (5),9 (3),24 (5),21 (5),10 (4),5 (2),6 (3),43 (5),47 (5),65 (5),65 (5),46 (5),11 (3),5 (2),2 (1)
19,PA,34 (5),12 (3),22 (4),27 (4),13 (3),8 (3),8 (3),33 (5),43 (5),64 (5),51 (5),51 (5),14 (4),8 (2),4 (2)
19,RI,32 (7),10 (5),20 (7),21 (6),10 (4),7 (3),8 (4),37 (8),47 (8),69 (7),45 (8),51 (8),10 (4),7 (3),2 (1)
19,SC,35 (6),10 (4),23 (6),23 (5),15 (5),13 (5),2 (2),36 (6),48 (7),65 (7),54 (7),52 (7),16 (5),8 (3),1 (1)
19,SD,45 (8),9 (4),24 (7),25 (7),11 (4),8 (4),2 (2),23 (6),32 (7),57 (7),29 (7),62 (7),20 (6),12 (5),5 (3)
19,TN,36 (5),9 (3),21 (5),22 (5),16 (4),9 (3),1 (1),36 (5),44 (6),68 (5),57 (6),47 (6),8 (3),7 (3),3 (2)
19,TX,42 (5),10 (3),25 (4),24 (4),12 (3),11 (3),4 (2),35 (4),45 (5),67 (4),66 (4),50 (5),14 (3),5 (2),4 (2)
19,UT,40 (6),12 (4),23 (5),24 (5),13 (4),13 (4),6 (3),24 (5),32 (6),65 (6),37 (6),57 (6),11 (3),9 (3),5 (2)
19,VA,37 (5),15 (4),25 (5),23 (5),15 (4),8 (3),5 (3),38 (5),46 (5),68 (5),63 (5),54 (6),14 (4),6 (2),4 (2)
19,VT,34 (7),6 (3),24 (7),23 (6),14 (5),5 (3),1 (1),30 (7),39 (7),57 (8),49 (8),55 (7),14 (5),6 (4),2 (2)
19,WA,35 (5),10 (3),22 (4),21 (4),9 (3),7 (2),8 (3),41 (5),50 (5),64 (5),72 (4),47 (5),11 (3),6 (2),3 (2)
19,WI,42 (5),8 (3),21 (5),22 (5),10 (3),9 (3),4 (3),29 (5),36 (5),61 (5),41 (5),56 (5),11 (3),7 (2),4 (2)
19,WV,34 (6),6 (3),25 (5),22 (5),15 (4),14 (4),1 (1),38 (6),47 (6),64 (6),46 (6),50 (6),14 (4),6 (3),3 (2)
19,WY,42 (9),7 (4),24 (8),17 (6),6 (3),8 (6),3 (3),21 (7),27 (8),58 (9),29 (8),64 (8),12 (5),9 (6),6 (5)
20,National,39 (1),12 (1),24 (1),25 (1),13 (1),9 (0),5 (0),29 (1),37 (1),64 (1),51 (1),56 (1),14 (1),8 (0),4 (0)
20,AK,44 (9),17 (6),25 (7),21 (7),13 (6),9 (6),1 (1),24 (8),29 (8),62 (8),47 (9),52 (9),16 (6),7 (3),4 (3)
20,AL,35 (6),9 (4),31 (6),21 (5),13 (4),12 (4),1 (1),32 (6),40 (6),65 (6),49 (6),54 (6),16 (4),6 (3),4 (2)
20,AR,36 (8),7 (3),30 (8),28 (7),15 (6),17 (6),1 (1),30 (7),38 (8),66 (7),42 (8),58 (7),12 (4),9 (5),4 (3)
20,AZ,36 (5),15 (4),26 (5),30 (5),15 (4),12 (4),6 (3),29 (5),39 (5),68 (5),47 (5),53 (5),13 (3),6 (2),3 (2)
20,CA,43 (4),17 (3),23 (3),28 (3),13 (2),7 (2),6 (2),35 (4),42 (4),65 (4),63 (4),51 (4),11 (2),7 (2),4 (2)
20,CO,47 (5),13 (3),25 (5),23 (4),13 (4),6 (2),3 (1),23 (4),30 (5),63 (5),43 (5),61 (5),17 (4),7 (3),4 (2)
20,CT,44 (7),12 (4),21 (5),24 (6),14 (5),7 (3),4 (2),32 (7),38 (7),61 (7),61 (7),51 (7),14 (5),9 (3),5 (3)
20,DC,35 (7),10 (4),20 (6),23 (6),15 (5),6 (3),16 (5),40 (7),44 (7),68 (7),72 (6),57 (7),12 (5),11 (5),4 (2)
20,DE,33 (6),10 (5),22 (6),22 (5),8 (3),7 (3),4 (3),29 (6),37 (6),61 (7),53 (7),55 (7),12 (4),8 (3),3 (1)
20,FL,35 (4),13 (2),26 (4),24 (3),15 (3),9 (2),3 (1),33 (4),41 (4),64 (4),53 (4),51 (4),13 (2),7 (2),3 (1)
20,GA,40 (4),14 (3),24 (4),25 (4),16 (3),13 (3),2 (1),34 (4),39 (4),64 (5),57 (5),54 (5),15 (3),6 (2),3 (1)
20,HI,41 (7),9 (4),18 (5),22 (6),12 (5),7 (3),7 (4),38 (7),45 (7),67 (7),70 (7),45 (7),14 (5),6 (3),4 (3)
20,IA,34 (6),8 (3),29 (6),25 (6),10 (4),8 (3),1 (1),22 (6),31 (6),59 (7),30 (6),56 (7),15 (4),12 (5),5 (2)
20,ID,40 (6),10 (4),24 (5),25 (5),12 (4),11 (4),2 (2),22 (5),28 (6),62 (6),31 (6),61 (6),14 (4),12 (4),7 (4)
20,IL,40 (4),11 (2),22 (4),26 (4),12 (3),9 (2),8 (3),33 (4),37 (4),63 (5),63 (5),54 (5),14 (3),8 (2),4 (2)
20,IN,34 (5),6 (2),22 (5),25 (5),14 (4),10 (3),4 (3),22 (5),29 (5),58 (6),38 (6),54 (6),16 (4),8 (4),3 (2)
20,KS,44 (7),9 (4),32 (6),27 (6),10 (4),10 (4),1 (2),22 (6),27 (6),66 (6),38 (7),62 (7),18 (5),7 (3),6 (3)
20,KY,29 (5),6 (3),30 (5),23 (5),12 (4),12 (3),1 (1),25 (5),35 (5),67 (5),45 (6),53 (6),15 (4),9 (3),3 (2)
20,LA,40 (7),7 (4),31 (7),21 (5),17 (5),9 (4),2 (2),32 (7),47 (7),66 (7),56 (7),49 (7),11 (5),11 (5),1 (1)
20,MA,39 (5),10 (3),26 (5),25 (4),14 (4),8 (3),7 (3),26 (5),34 (5),61 (6),53 (6),57 (5),17 (5),7 (3),4 (2)
20,MD,40 (6),13 (4),22 (5),24 (5),12 (4),9 (3),9 (4),29 (5),36 (6),67 (6),62 (6),54 (6),11 (3),10 (3),4 (2)
20,ME,35 (5),6 (3),25 (5),18 (4),12 (3),7 (3),1 (1),24 (4),35 (5),64 (5),40 (5),53 (6),10 (3),10 (3),5 (2)
20,MI,39 (5),10 (3),22 (4),24 (4),11 (3),9 (3),2 (2),27 (4),34 (5),62 (5),45 (5),54 (5),17 (4),8 (2),4 (2)
20,MN,41 (6),11 (3),26 (5),32 (6),11 (3),8 (3),4 (2),20 (5),30 (5),60 (6),35 (6),60 (6),15 (4),9 (3),5 (3)
20,MO,37 (5),10 (3),27 (5),25 (4),10 (3),13 (3),3 (2),24 (5),33 (5),70 (5),46 (5),62 (5),17 (4),9 (3),7 (3)
20,MS,36 (7),10 (4),26 (7),22 (6),17 (6),16 (6),1 (1),29 (7),40 (7),63 (7),47 (7),55 (7),13 (5),8 (4),2 (1)
20,MT,42 (6),9 (4),24 (6),26 (6),11 (4),6 (3),1 (1),16 (5),24 (6),54 (7),28 (6),61 (6),18 (5),8 (3),2 (2)
20,NC,36 (4),12 (3),22 (4),25 (4),14 (3),13 (3),3 (2),34 (5),38 (5),63 (5),57 (5),53 (5),11 (3),7 (2),5 (2)
20,ND,42 (7),9 (3),32 (7),22 (6),14 (5),9 (4),0 (0),20 (6),28 (7),60 (7),21 (5),66 (7),21 (6),12 (5),8 (3)
20,NE,39 (7),10 (5),27 (6),25 (6),8 (3),8 (4),2 (2),20 (6),24 (6),55 (7),36 (7),58 (7),15 (5),13 (5),3 (2)
20,NH,43 (7),16 (5),27 (7),28 (7),14 (5),6 (3),3 (3),23 (6),30 (6),57 (7),43 (7),59 (7),14 (5),9 (4),4 (3)
20,NJ,41 (5),14 (3),26 (4),26 (4),12 (3),11 (3),8 (3),29 (5),39 (5),61 (5),53 (5),61 (5),13 (3),9 (2),4 (2)
20,NM,37 (8),7 (3),22 (7),20 (6),18 (7),8 (5),4 (4),34 (8),46 (8),69 (8),71 (8),57 (8),15 (6),6 (3),3 (3)
20,NV,36 (6),13 (5),25 (6),33 (6),17 (6),9 (5),9 (4),29 (6),36 (6),72 (6),60 (7),56 (7),13 (5),9 (4),7 (4)
20,NY,39 (4),10 (2),22 (3),22 (3),13 (3),10 (2),16 (3),35 (4),42 (4),67 (4),58 (4),50 (4),14 (3),5 (1),3 (1)
20,OH,36 (4),10 (3),26 (4),27 (4),13 (3),9 (2),2 (1),25 (4),32 (4),61 (4),42 (4),53 (4),15 (3),8 (2),6 (2)
20,OK,45 (6),11 (4),27 (6),26 (6),12 (4),12 (4),2 (2),20 (5),29 (6),56 (6),37 (6),57 (6),16 (5),9 (3),3 (2)
20,OR,34 (6),8 (3),27 (5),26 (5),12 (4),8 (3),6 (3),36 (6),38 (6),62 (6),63 (6),57 (6),12 (4),12 (4),5 (2)
20,PA,37 (4),10 (2),22 (4),24 (4),11 (3),10 (3),5 (2),27 (4),36 (4),64 (4),49 (5),55 (5),14 (3),10 (2),5 (2)
20,RI,34 (7),11 (5),18 (6),20 (6),13 (5),7 (5),5 (3),24 (7),34 (7),62 (8),42 (8),62 (7),17 (7),8 (4),4 (4)
20,SC,35 (6),7 (3),24 (5),22 (5),14 (5),10 (4),2 (2),27 (5),40 (6),60 (6),47 (6),47 (6),13 (4),7 (3),3 (2)
20,SD,42 (8),6 (3),25 (7),27 (7),15 (6),13 (5),3 (3),19 (6),28 (8),57 (8),25 (7),62 (8),17 (6),11 (4),7 (4)
20,TN,37 (5),7 (2),24 (4),28 (5),14 (4),11 (3),3 (2),29 (5),39 (5),67 (5),50 (5),56 (5),17 (4),8 (3),3 (2)
20,TX,42 (4),14 (3),24 (4),28 (4),12 (3),8 (3),3 (1),32 (4),38 (4),65 (4),52 (4),53 (4),14 (3),7 (2),3 (1)
20,UT,40 (7),13 (5),31 (6),29 (6),15 (5),13 (4),4 (2),27 (6),31 (6),60 (7),34 (6),62 (7),12 (4),12 (5),8 (3)
20,VA,37 (4),13 (3),27 (4),22 (4),14 (3),7 (2),4 (2),35 (4),42 (4),66 (4),59 (4),50 (5),12 (3),6 (2),4 (2)
20,VT,39 (7),7 (4),18 (6),17 (6),15 (5),4 (3),2 (2),23 (6),35 (7),51 (8),46 (8),59 (7),13 (5),7 (4),4 (4)
20,WA,38 (5),11 (3),23 (4),21 (4),12 (3),7 (2),7 (2),32 (5),42 (5),64 (5),65 (5),56 (5),12 (3),7 (2),4 (2)
20,WI,48 (6),8 (3),25 (5),24 (4),13 (4),7 (2),3 (2),22 (5),24 (5),58 (6),36 (5),63 (5),16 (4),10 (3),7 (3)
20,WV,32 (6),4 (2),28 (6),20 (5),17 (5),11 (4),2 (2),30 (7),35 (7),63 (7),44 (7),53 (7),14 (5),9 (4),4 (3)
20,WY,48 (8),10 (5),26 (7),33 (8),14 (6),12 (6),2 (2),15 (5),21 (6),63 (8),14 (4),60 (8),19 (7),16 (7),4 (2)
21,National,33 (1),9 (0),21 (1),19 (1),11 (0),9 (0),4 (0),34 (1),42 (1),65 (1),57 (1),50 (1),13 (1),6 (0),3 (0)
21,AK,36 (7),11 (4),26 (7),20 (6),12 (5),9 (4),3 (2),25 (6),34 (7),63 (7),44 (7),55 (7),15 (5),8 (4),3 (2)
21,AL,30 (5),9 (4),29 (6),22 (5),17 (4),12 (4),1 (1),29 (5),38 (6),64 (6),49 (6),49 (6),14 (4),6 (3),4 (3)
21,AR,30 (5),8 (3),27 (5),21 (5),14 (4),15 (4),2 (2),27 (5),33 (6),61 (6),40 (6),55 (6),13 (4),7 (3),6 (3)
21,AZ,36 (6),8 (3),24 (5),20 (5),11 (4),9 (4),7 (4),31 (6),37 (6),67 (5),54 (6),54 (6),13 (4),6 (3),5 (3)
21,CA,33 (4),9 (2),22 (4),21 (3),11 (3),7 (2),5 (2),40 (4),47 (4),69 (4),71 (4),45 (4),11 (3),6 (2),3 (1)
21,CO,39 (5),10 (3),20 (4),20 (4),13 (4),6 (3),5 (3),26 (4),35 (5),61 (5),55 (5),52 (5),14 (3),6 (3),4 (2)
21,CT,31 (6),9 (4),18 (5),14 (4),12 (5),7 (3),4 (3),39 (6),46 (6),71 (6),75 (5),46 (6),12 (4),7 (4),2 (2)
21,DC,28 (5),13 (4),15 (5),17 (5),12 (4),7 (4),12 (4),49 (6),58 (6),71 (6),79 (5),53 (6),13 (4),4 (3),3 (2)
21,DE,33 (6),11 (4),18 (5),15 (4),9 (3),6 (3),2 (2),32 (5),43 (6),66 (5),56 (6),47 (6),15 (4),6 (3),3 (2)
